time,user,uj,step,cycle,error type,error cause,cause message/ddi
2018-01-29 01:46:29,0009,Open and Assign CM WO as Supervisor,Select WO,0,500,500,
2018-01-29 02:57:04,0009,Open and Assign CM WO as Supervisor,Save,46,Success Validation Failure,operation resulted in a table with zero rows,searchterm: Record has been saved.
2018-01-29 04:01:16,0009,Open and Assign CM WO as Supervisor,Save,88,Success Validation Failure,Warning Message,BMXAA8229W - Record WORKORDER :  Site=WW Work Orde...
2018-01-29 04:56:36,0009,Open and Assign CM WO as Supervisor,Save,126,Success Validation Failure,Warning Message,BMXAA8229W - Record WORKORDER :  Site=WW Work Orde...
2018-01-29 05:11:33,0009,Open and Assign CM WO as Supervisor,Save,136,Success Validation Failure,Warning Message,BMXAA8229W - Record WORKORDER :  Site=WW Work Orde...
2018-01-29 05:31:07,0009,Open and Assign CM WO as Supervisor,Save,150,Success Validation Failure,Warning Message,BMXAA8229W - Record WORKORDER :  Site=WW Work Orde...
2018-01-29 05:58:38,0009,Open and Assign CM WO as Supervisor,Save,169,Success Validation Failure,Warning Message,BMXAA8229W - Record WORKORDER :  Site=WW Work Orde...
2018-01-29 06:10:28,0009,Open and Assign CM WO as Supervisor,Save,177,Success Validation Failure,Warning Message,BMXAA8229W - Record WORKORDER :  Site=WW Work Orde...
2018-01-29 06:11:47,0009,Open and Assign CM WO as Supervisor,Save,178,Success Validation Failure,Warning Message,BMXAA8229W - Record WORKORDER :  Site=WW Work Orde...
2018-01-29 06:16:31,0009,Open and Assign CM WO as Supervisor,Select WO,182,Success Validation Failure,Critical Message,BMXAA4214E - An unknown error has occurred.Please ...
2018-01-29 06:17:22,0009,Open and Assign CM WO as Supervisor,Select WO,183,Success Validation Failure,Critical Message,BMXAA4214E - An unknown error has occurred.Please ...
2018-01-29 06:21:21,0009,Open and Assign CM WO as Supervisor,Save,186,Success Validation Failure,Warning Message,BMXAA8229W - Record WORKORDER :  Site=WW Work Orde...
2018-01-29 06:22:42,0009,Open and Assign CM WO as Supervisor,Save,187,Success Validation Failure,Warning Message,BMXAA8229W - Record WORKORDER :  Site=WW Work Orde...
2018-01-29 06:24:04,0009,Open and Assign CM WO as Supervisor,Save,188,Success Validation Failure,Warning Message,BMXAA8229W - Record WORKORDER :  Site=WW Work Orde...
2018-01-29 06:25:15,0009,Open and Assign CM WO as Supervisor,Save,189,Success Validation Failure,Warning Message,BMXAA8229W - Record WORKORDER :  Site=WW Work Orde...
2018-01-29 06:26:41,0009,Open and Assign CM WO as Supervisor,Save,190,Success Validation Failure,Warning Message,BMXAA8229W - Record WORKORDER :  Site=WW Work Orde...
2018-01-29 06:34:15,0009,Open and Assign CM WO as Supervisor,Select WO,196,Response DD Extraction Failure,Response DD Extraction Failure,Open and Assign CM WO as Supervisor ID 3
2018-01-29 06:34:44,0009,Open and Assign CM WO as Supervisor,Select WO,197,Response DD Extraction Failure,Response DD Extraction Failure,Open and Assign CM WO as Supervisor ID 3
2018-01-29 06:35:24,0009,Open and Assign CM WO as Supervisor,Select WO,198,Response DD Extraction Failure,Response DD Extraction Failure,Open and Assign CM WO as Supervisor ID 3
2018-01-29 06:35:51,0009,Open and Assign CM WO as Supervisor,Select WO,199,Response DD Extraction Failure,Response DD Extraction Failure,Open and Assign CM WO as Supervisor ID 3
2018-01-29 06:36:24,0009,Open and Assign CM WO as Supervisor,Select WO,200,Response DD Extraction Failure,Response DD Extraction Failure,Open and Assign CM WO as Supervisor ID 3
2018-01-29 06:37:05,0009,Open and Assign CM WO as Supervisor,Select WO,201,Response DD Extraction Failure,Response DD Extraction Failure,Open and Assign CM WO as Supervisor ID 3
2018-01-29 06:37:38,0009,Open and Assign CM WO as Supervisor,Select WO,202,Response DD Extraction Failure,Response DD Extraction Failure,Open and Assign CM WO as Supervisor ID 3
2018-01-29 06:38:12,0009,Open and Assign CM WO as Supervisor,Select WO,203,Response DD Extraction Failure,Response DD Extraction Failure,Open and Assign CM WO as Supervisor ID 3
2018-01-29 06:38:52,0009,Open and Assign CM WO as Supervisor,Select WO,204,Response DD Extraction Failure,Response DD Extraction Failure,Open and Assign CM WO as Supervisor ID 3
2018-01-29 06:39:32,0009,Open and Assign CM WO as Supervisor,Select WO,205,Response DD Extraction Failure,Response DD Extraction Failure,Open and Assign CM WO as Supervisor ID 3
2018-01-29 06:40:02,0009,Open and Assign CM WO as Supervisor,Select WO,206,Response DD Extraction Failure,Response DD Extraction Failure,Open and Assign CM WO as Supervisor ID 3
2018-01-29 06:40:37,0009,Open and Assign CM WO as Supervisor,Select WO,207,Response DD Extraction Failure,Response DD Extraction Failure,Open and Assign CM WO as Supervisor ID 3
2018-01-29 06:41:09,0009,Open and Assign CM WO as Supervisor,Select WO,208,Response DD Extraction Failure,Response DD Extraction Failure,Open and Assign CM WO as Supervisor ID 3
2018-01-29 06:41:42,0009,Open and Assign CM WO as Supervisor,Select WO,209,Response DD Extraction Failure,Response DD Extraction Failure,Open and Assign CM WO as Supervisor ID 3
2018-01-29 06:42:11,0009,Open and Assign CM WO as Supervisor,Select WO,210,Response DD Extraction Failure,Response DD Extraction Failure,Open and Assign CM WO as Supervisor ID 3
2018-01-29 06:42:57,0009,Open and Assign CM WO as Supervisor,Select WO,211,Response DD Extraction Failure,Response DD Extraction Failure,Open and Assign CM WO as Supervisor ID 3
2018-01-29 06:43:35,0009,Open and Assign CM WO as Supervisor,Select WO,212,Response DD Extraction Failure,Response DD Extraction Failure,Open and Assign CM WO as Supervisor ID 3
2018-01-29 06:44:19,0009,Open and Assign CM WO as Supervisor,Select WO,213,Response DD Extraction Failure,Response DD Extraction Failure,Open and Assign CM WO as Supervisor ID 3
2018-01-29 06:44:49,0009,Open and Assign CM WO as Supervisor,Select WO,214,Response DD Extraction Failure,Response DD Extraction Failure,Open and Assign CM WO as Supervisor ID 3
2018-01-29 06:45:27,0009,Open and Assign CM WO as Supervisor,Select WO,215,Response DD Extraction Failure,Response DD Extraction Failure,Open and Assign CM WO as Supervisor ID 3
2018-01-29 06:46:00,0009,Open and Assign CM WO as Supervisor,Select WO,216,Response DD Extraction Failure,Response DD Extraction Failure,Open and Assign CM WO as Supervisor ID 3
2018-01-29 06:46:32,0009,Open and Assign CM WO as Supervisor,Select WO,217,Response DD Extraction Failure,Response DD Extraction Failure,Open and Assign CM WO as Supervisor ID 3
2018-01-29 06:47:05,0009,Open and Assign CM WO as Supervisor,Select WO,218,Response DD Extraction Failure,Response DD Extraction Failure,Open and Assign CM WO as Supervisor ID 3
2018-01-29 06:47:44,0009,Open and Assign CM WO as Supervisor,Select WO,219,Response DD Extraction Failure,Response DD Extraction Failure,Open and Assign CM WO as Supervisor ID 3
2018-01-29 06:48:22,0009,Open and Assign CM WO as Supervisor,Select WO,220,Response DD Extraction Failure,Response DD Extraction Failure,Open and Assign CM WO as Supervisor ID 3
2018-01-29 06:48:56,0009,Open and Assign CM WO as Supervisor,Select WO,221,Response DD Extraction Failure,Response DD Extraction Failure,Open and Assign CM WO as Supervisor ID 3
2018-01-29 06:49:35,0009,Open and Assign CM WO as Supervisor,Select WO,222,Response DD Extraction Failure,Response DD Extraction Failure,Open and Assign CM WO as Supervisor ID 3
2018-01-29 06:50:13,0009,Open and Assign CM WO as Supervisor,Select WO,223,Response DD Extraction Failure,Response DD Extraction Failure,Open and Assign CM WO as Supervisor ID 3
2018-01-29 06:50:40,0009,Open and Assign CM WO as Supervisor,Select WO,224,Response DD Extraction Failure,Response DD Extraction Failure,Open and Assign CM WO as Supervisor ID 3
2018-01-29 06:51:14,0009,Open and Assign CM WO as Supervisor,Select WO,225,Response DD Extraction Failure,Response DD Extraction Failure,Open and Assign CM WO as Supervisor ID 3
2018-01-29 06:51:44,0009,Open and Assign CM WO as Supervisor,Select WO,226,Response DD Extraction Failure,Response DD Extraction Failure,Open and Assign CM WO as Supervisor ID 3
